번호|평점|영화|140자평|글쓴이|날짜
15990318|10|연애의 목적|주인공들의 감정연기와 작가와 감독이 하고싶은 말에 격한 공감을 느꼈다. 이것이 그들이 말하고 싶었던 연애의목적이구나 했다. 헌데 네티즌 평점을 보다보니... 20살때 극장에서 보며 이렇게 느꼈던 내가 이상한 사람이 된 것 같은 기분이 드네..ㅎㅎ |gold****|19.08.04
15990317|1|나랏말싸미|알바가 승리한 최고의 영화 평점 8점대길래 보러갔었지... ㅎㅎㅎ 개새ㅣㄲ들 |lee1****|19.08.04
15990316|2|사자|킹오파 쿄로 변신 ㅋㅋ불주먹 웃김 |park****|19.08.04
15990315|10|엑시트|용감한 시민상 안받아서 좋았다 최고! |ahm3****|19.08.04
15990313|10|엑시트|너무 재미있게 잘봤어요 !! |blue****|19.08.04
15990311|10|엑시트|최고 조정석 상받자~~~~ |jyp1****|19.08.04
15990312|8|엑시트|재밌네요.조정석은 물론 윤아 연기  너무 잘하네요^^ |euna****|19.08.04
15990310|10|사자|뭐 길게말할필요없이 그냥 짱 |qndu****|19.08.04
15990309|10|사자|재밌었어요 귀신들 퇴마하는게 좋았어요 |qhre****|19.08.04
15990308|10|사자|좋아하는 배우2명 때문에 보긴 했지만 현실적이 않으면서 조금은 무섭고 완전 재밌는 영화 마지막은 좀 그랬지만 악이 져서 다행 박서준은 역시 대박이다 오랜만에 재밌는 영화봐서 좋았고 원래 멋있지만 박서준 웃통까는 장면 복근 엄청 멋있어ㅠㅠ |geum****|19.08.04
